All Players 3 Year Averages MLB Standard Stats															
Player	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Value
Espineli, Geno M. RP SF 	Free Agent	16.0	0.0	0	0	2	0	0	0	8	8	17	5.06	1.56	1043
Colon, Bartolo SP CHW 	Free Agent	65.0	11.7	5	0	4	5	0	0	45	17	82	5.54	1.52	1044
Coutlangus, Jon RP ARI	Free Agent	13.7	0.0	0	0	1	1	0	0	13	9	13	4.61	1.61	1046
Waters, Chris SP BAL	Free Agent	64.7	11.0	4	1	3	5	0	0	33	29	70	5.01	1.53	1048
Falkenborg, Brian RP SD	Free Agent	15.7	0.0	0	0	1	2	0	0	13	7	18	4.60	1.60	1055
Hudson, Luke SP KC	Free Agent	34.7	5.3	3	0	2	2	0	0	21	14	37	5.45	1.47	1057
Patterson, Scott RP OAK	Free Agent	4.7	0.0	0	0	0	0	0	0	7	6	2	1.93	1.71	1059
Mastny, Thomas RP CLE	Free Agent	31.3	0.3	0	0	3	2	2	0	28	17	36	6.03	1.69	1060
Cotts, Neal RP CHC	Free Agent	35.3	0.0	0	0	0	2	0	0	33	15	39	4.84	1.53	1066
Salas, Juan RP CLE	Free Agent	17.7	0.0	0	0	0	0	0	0	14	8	18	4.58	1.47	1067
Eveland, Dana SP OAK	Free Agent	67.0	11.7	4	0	3	4	0	0	51	33	73	5.10	1.58	1069
Yabuta, Yasuhiko RP KC	Free Agent	37.7	0.0	0	0	1	3	0	0	25	17	41	4.78	1.54	1072
Chacon, Shawn RP OAK	Free Agent	97.0	13.0	5	0	5	4	0	0	65	51	102	5.20	1.58	1073
Rosa, Carlos RP KC	Free Agent	1.7	0.0	0	0	0	0	0	0	2	0	2	0.00	1.20	1074
Parnell, Bobby RP NYM  	Free Agent	5.0	0.0	0	0	0	0	0	0	3	2	3	5.40	1.00	1075
Cassel, Jack SP CLE	Free Agent	26.7	3.5	0	0	1	1	0	0	12	6	34	4.72	1.50	1076
Tejeda, Robinson RP KC	Free Agent	71.3	11.3	3	0	4	5	0	0	51	39	73	5.30	1.57	1078
Halsey, Brad SP LA	Free Agent	31.3	2.3	0	0	2	1	0	0	18	15	36	4.60	1.63	1080
Colon, Roman RP KC	Free Agent	13.0	0.3	0	0	1	0	0	0	8	5	15	4.85	1.54	1085
Garcia, Jaime RP STL	Free Agent	16.0	1.0	0	0	1	1	0	0	8	8	14	5.62	1.38	1086
Estes, Shawn SP LA	Free Agent	16.7	3.0	1	0	1	1	0	0	8	7	18	4.86	1.50	1087
Feldman, Scott SP TEX  	Free Agent	77.3	8.3	4	0	2	4	0	0	41	33	82	5.12	1.49	1088
Jepsen, Kevin RP ANA	Free Agent	8.3	0.0	0	0	0	1	0	0	7	4	8	4.32	1.44	1089
Banks, Josh SP SD	Free Agent	31.0	5.0	1	0	1	2	0	0	15	11	35	4.94	1.48	1093
Sanchez, Romulo RP PIT	Free Agent	15.7	0.0	0	0	0	0	0	0	7	7	15	4.60	1.40	1094
Simpson, Allan RP PIT	Free Agent	1.0	0.0	0	0	0	0	0	0	2	1	0	0.00	1.00	1095
Muniz, Carlos RP NYM	Free Agent	12.7	0.0	0	0	0	0	0	0	9	4	12	5.68	1.26	1096
Lowe, Mark RP SEA	Free Agent	28.3	0.0	0	0	1	2	0	0	26	15	31	4.76	1.62	1098
Youman, Shane SP PHI	Free Agent	26.3	3.7	1	0	1	2	0	0	11	11	27	5.13	1.44	1101
Tracey, Sean RP CHW	Free Agent	2.7	0.0	0	0	0	0	0	0	1	2	1	3.38	1.12	1102
Rupe, Josh RP TEX	Free Agent	39.3	0.0	0	0	1	1	0	0	22	18	42	4.81	1.53	1104
Arias, Alberto RP HOU 	Free Agent	14.7	1.0	0	0	1	0	0	0	8	8	16	4.30	1.64	1105
Niemann, Jeff SP TB   	Whiteness	5.3	0.7	0	0	1	1	0	0	5	3	6	5.06	1.69	1107
Fruto, Emiliano RP ATL	Free Agent	12.0	0.0	0	0	1	1	0	0	11	8	11	5.25	1.58	1109
Serrano, Alex RP ANA	Free Agent	1.0	0.0	0	0	0	0	0	0	1	0	1	0.00	1.00	1110
Patterson, John SP TEX	Free Agent	24.0	5.0	2	0	1	2	0	0	19	10	25	5.62	1.46	1112
Hurley, Eric SP TEX 	Disco Bush Horticulturists	24.7	5.0	1	0	1	2	0	0	13	9	26	5.47	1.42	1113
Martinez, Carlos RP FLA	Free Agent	4.3	0.0	0	0	0	0	0	0	4	2	4	4.15	1.38	1114
Cate, Troy RP OAK	Free Agent	8.0	0.0	0	0	0	0	0	0	6	4	9	3.38	1.62	1115
Romero, Davis RP TOR	Free Agent	5.3	0.0	0	0	0	0	0	0	3	2	6	3.38	1.50	1116
Perez, Odalis SP WAS	Free Agent	141.0	25.3	10	0	7	10	0	0	88	45	176	5.30	1.57	1119
Woods, Jake RP PHI	Free Agent	45.0	2.7	1	0	2	1	0	0	26	24	49	4.60	1.62	1123
Albers, Matt RP BAL	Free Agent	58.3	7.7	3	0	2	5	0	0	36	26	62	5.25	1.51	1127
Flores, Randy RP COL	Free Agent	40.7	0.0	0	0	2	0	1	0	35	19	51	4.87	1.72	1130
Outman, Josh SP OAK 	User Abuser	25.7	4.0	2	0	1	2	0	0	19	8	34	4.56	1.64	1131
Spurling, Chris RP MIL	Free Agent	23.7	0.0	0	0	1	0	0	0	12	7	29	4.94	1.52	1138
Thomson, John SP KC	Free Agent	30.3	5.7	2	0	1	3	0	0	16	12	35	4.75	1.55	1139
Birkins, Kurt RP COL	Free Agent	25.0	0.7	0	0	2	1	0	0	21	12	27	5.76	1.56	1145
Asencio, Miguel RP BOS	Free Agent	2.7	0.3	0	0	0	0	0	0	2	1	3	3.38	1.50	1147
Boyer, Blaine RP ARI	Free Agent	26.0	0.0	0	0	1	2	0	0	23	9	29	5.88	1.46	1151
Ortiz, Ramon SP SF	Free Agent	98.3	14.3	7	0	5	7	0	0	52	29	119	5.49	1.51	1152
Hull, Eric RP SEA	Free Agent	3.3	0.0	0	0	0	0	0	0	2	2	2	5.40	1.20	1153
Hernandez, Livan SP WAS  	Free Agent	200.0	32.7	17	1	12	12	0	0	95	67	250	5.22	1.58	1154
Backe, Brandon SP HOU	Free Agent	79.3	14.7	6	0	5	6	0	0	52	35	91	5.33	1.59	1155
Garcia, Jose L. RP OAK	Free Agent	3.7	0.0	0	0	0	0	0	0	3	2	3	4.91	1.36	1156
Bisenius, Joe RP PHI	Free Agent	1.0	0.0	0	0	0	0	0	0	2	1	1	0.00	2.00	1157
Bullington, Bryan SP TOR	Free Agent	10.7	1.7	0	0	0	2	0	0	6	2	13	5.06	1.41	1160
Demaria, Chris N. RP MIL	Free Agent	4.7	0.0	0	0	0	0	0	0	4	3	3	5.79	1.29	1162
Manning, Charlie RP STL	Free Agent	42.0	0.0	0	0	1	3	0	0	37	31	35	5.14	1.57	1163
Choate, Randy RP TB	Free Agent	5.3	0.0	0	0	0	0	0	0	4	1	8	3.38	1.69	1164
Narveson, Chris SP MIL	Free Agent	3.0	0.3	0	0	0	0	0	0	4	2	2	6.00	1.33	1167
Delgado, Jesus RP SEA	Free Agent	0.7	0.0	0	0	0	0	0	0	0	1	0	0.00	1.50	1168
Sanchez, Humberto RP NYY	SA`s	0.7	0.0	0	0	0	0	0	0	0	1	0	0.00	1.50	1169
Urdaneta, Lino RP NYM	Free Agent	0.7	0.0	0	0	0	0	0	0	0	0	1	0.00	1.50	1170
Clarke, Darren RP COL	Free Agent	0.7	0.0	0	0	0	0	0	0	0	0	1	0.00	1.50	1171
Davis, Jason T. RP PIT	Free Agent	42.0	1.3	1	0	2	2	0	0	23	19	49	4.71	1.62	1173
Carpenter, Andrew J. RP PHI	Free Agent	1.0	0.0	0	0	0	0	0	0	1	1	1	0.00	2.00	1175
Paulino, Felipe SP HOU 	Free Agent	6.3	1.0	0	0	1	0	0	0	4	2	7	7.11	1.42	1176
O'Connor, Mike RP SD	Free Agent	38.0	7.0	2	0	1	3	0	0	21	19	36	5.45	1.45	1177
Hernandez, Yoel RP PHI	Free Agent	5.0	0.0	0	0	0	0	0	0	4	0	7	5.40	1.40	1180
Michalak, Chris RP WAS	Free Agent	11.7	2.0	0	0	1	1	0	0	3	5	14	4.63	1.63	1183
O'Flaherty, Eric RP ATL	Free Agent	23.3	0.0	0	0	2	1	0	0	15	10	26	5.79	1.54	1184
Messenger, Randy RP SEA	Free Agent	45.7	0.0	0	0	1	4	1	0	29	17	58	4.73	1.64	1185
Rosales, Leo RP ARI	Free Agent	15.0	0.0	0	0	0	0	0	0	9	8	16	4.20	1.60	1187
Montero, Agustin RP LA	Free Agent	4.7	0.0	0	0	0	0	0	0	2	1	5	5.79	1.29	1194
Lara, Juan RP CLE	Free Agent	2.0	0.0	0	0	0	0	0	0	1	1	2	4.50	1.50	1195
Astacio, Ezequiel RP TEX	Free Agent	2.0	0.0	0	0	1	0	0	0	2	2	2	9.00	2.00	1199
Komine, Shane SP OAK	Free Agent	5.7	0.7	0	0	0	0	0	0	1	3	5	4.76	1.41	1200
Beam, T.J. RP TOR	Free Agent	21.3	0.0	0	0	1	1	0	0	12	9	23	5.48	1.50	1209
Humber, Philip RP MIN 	Free Agent	7.0	0.3	0	0	0	0	0	0	3	3	7	5.14	1.43	1213
Garcia, Harvey RP LA	Free Agent	4.0	0.0	0	0	0	0	0	0	5	2	5	4.50	1.75	1214
Balester, Collin SP WAS	Free Agent	80.0	15.0	3	0	3	7	0	0	50	28	92	5.51	1.50	1215
Chico, Matt SP WAS	Free Agent	107.3	19.5	6	0	4	8	0	0	62	46	123	5.03	1.57	1216
Jimenez, Cesar RP SEA 	Free Agent	14.0	1.0	0	0	0	1	0	0	10	6	15	5.14	1.50	1217
Childers, Jason RP TB 	Free Agent	2.7	0.0	0	0	0	0	0	0	2	1	4	3.38	1.88	1218
Ramirez, Erasmo RP MIL	Free Agent	3.3	0.0	0	0	0	0	0	0	0	2	4	2.70	1.80	1224
Burnett, Sean RP WAS 	Free Agent	19.0	0.0	0	0	0	0	0	0	14	11	19	4.74	1.58	1230
Hart, Kevin RP PIT  	Free Agent	19.3	0.0	0	0	1	1	0	0	18	11	23	4.66	1.76	1231
Simon, Alfredo RP BAL 	Free Agent	4.3	0.3	0	0	0	0	0	0	3	1	5	6.23	1.38	1232
Bonine, Eddie SP DET	Free Agent	26.7	5.0	2	0	2	1	0	0	9	5	36	5.40	1.54	1233
Stanford, Jason SP WAS	Free Agent	8.7	0.7	0	0	0	0	0	0	5	2	11	5.19	1.50	1246
Wassermann, Ehren RP CHW 	Free Agent	21.3	0.0	0	0	1	2	0	0	12	10	24	5.06	1.59	1250
Fox, Chad RP CHC 	Free Agent	3.3	0.0	0	0	0	1	0	0	1	3	2	5.40	1.50	1251
Rleal, Sendy RP BAL	Free Agent	15.7	0.0	0	0	0	0	0	0	6	8	16	4.60	1.53	1253
Field, Nate RP FLA 	Free Agent	3.3	0.0	0	0	0	0	0	0	5	2	4	5.40	1.80	1258
Braden, Dallas SP OAK 	Want-a-be Ghetto All Stars	72.0	12.0	3	0	3	6	0	0	48	26	84	5.50	1.53	1259
Bernero, Adam RP PIT	Free Agent	5.0	1.0	0	0	0	0	0	0	4	1	7	5.40	1.60	1267
Resop, Chris RP ATL	Free Agent	14.7	0.0	0	0	0	1	0	0	8	9	15	4.30	1.64	1271
Knight, Brandon SP NYM	Free Agent	12.0	2.0	0	0	1	0	0	0	10	7	14	5.25	1.75	1275
Daigle, Casey RP HOU	Free Agent	4.0	0.0	0	0	0	0	0	0	2	2	5	4.50	1.75	1277
Thompson, Mike SP PIT	Free Agent	36.0	5.3	3	0	1	2	0	0	13	12	41	5.25	1.47	1279
King, Ray RP WAS	Free Agent	30.3	0.0	0	0	1	2	0	0	16	15	34	4.75	1.62	1287
Mickolio, Kam RP BAL	Free Agent	7.7	0.0	0	0	0	1	0	0	8	4	8	5.87	1.57	1289
Perez, Juan P. RP ATL	Free Agent	5.3	0.0	0	0	0	0	0	0	4	3	6	5.06	1.69	1290
Wright, Chase SP MIL 	Free Agent	5.0	1.0	0	0	1	0	0	0	4	3	6	7.20	1.80	1291
Dessens, Elmer SP NYM	Free Agent	38.3	1.7	0	0	2	4	1	0	25	13	47	5.87	1.57	1292
Koplove, Mike RP SEA	Free Agent	3.0	0.0	0	0	0	0	0	0	2	1	4	6.00	1.67	1297
Blackley, Travis SP ARI	Free Agent	3.0	0.7	0	0	0	0	0	0	2	2	3	6.00	1.67	1298
Driskill, Travis RP HOU	Free Agent	3.0	0.0	0	0	0	0	0	0	2	0	5	6.00	1.67	1299
Pignatiello, Carmen RP CHC	Free Agent	1.3	0.0	0	0	0	0	0	0	2	1	2	6.75	2.25	1303
Gutierrez, Juan SP ARI	Free Agent	7.0	1.0	0	0	0	0	0	0	5	2	8	6.43	1.43	1304
Dillard, Tim RP MIL	Free Agent	14.3	0.0	0	0	0	0	0	0	5	6	17	4.40	1.60	1305
Jones, Greg RP LA	Free Agent	5.0	0.0	0	0	0	0	0	0	2	2	6	5.40	1.60	1306
Sharpless, Josh RP PIT	Free Agent	5.3	0.0	0	0	0	0	0	0	3	4	5	5.06	1.69	1308
Keisler, Randy SP MIN	Free Agent	9.0	1.0	0	0	0	0	0	0	3	2	12	5.00	1.56	1309
Bulger, Jason RP ANA 	Free Agent	8.0	0.0	0	0	0	0	0	0	10	5	7	6.75	1.50	1313
McClellan, Zach RP COL	Free Agent	7.0	0.0	0	0	0	0	0	0	6	2	10	5.14	1.71	1317
Ascanio, Jose RP PIT 	Free Agent	7.3	0.0	0	0	0	0	0	0	5	3	8	6.14	1.50	1320
Mujica, Edward RP SD	Free Agent	23.3	0.0	0	0	1	1	0	0	15	4	30	6.17	1.46	1321
Buchholz, Clay SP BOS  	Evil Empire	49.3	9.0	2	1	2	5	0	0	47	26	54	5.47	1.62	1326
Cali, Carmen RP LA	Free Agent	7.0	0.0	0	0	0	0	0	0	5	5	7	5.14	1.71	1328
Matos, Osiris RP SF	Free Agent	10.3	0.0	0	0	0	1	0	0	8	4	13	5.23	1.65	1330
Phillips, Heath SP KC	Free Agent	3.7	0.0	0	0	0	0	0	0	1	2	5	4.91	1.91	1333
Clippard, Tyler SP WAS	Free Agent	18.7	4.0	1	0	2	1	0	0	13	12	20	5.79	1.71	1335
Parr, James R. SP ATL	Free Agent	22.3	5.0	2	0	1	0	0	0	14	9	29	4.84	1.70	1336
Gonzalez, Enrique RP BOS 	Free Agent	37.3	6.0	2	0	1	2	0	0	22	12	41	6.03	1.42	1337
Campbell, Brett B. RP MIL	Free Agent	1.3	0.0	0	0	0	0	0	0	1	1	1	13.50	1.50	1340
Andrade, Steve RP TB	Free Agent	1.7	0.0	0	0	0	0	0	0	2	1	2	10.80	1.80	1342
Jackson, Edwin SP DET  	SA`s	127.0	21.0	10	0	6	9	0	0	88	63	145	5.10	1.64	1343
Dove, Dennis RP STL	Free Agent	1.3	0.0	0	0	0	0	0	0	0	0	2	13.50	1.50	1348
Jackson, Zach SP CLE	Free Agent	32.3	5.3	2	0	1	2	0	0	18	10	39	5.57	1.52	1349
Thatcher, Joe RP SD	Free Agent	23.3	0.0	0	0	1	3	0	0	16	10	28	5.40	1.63	1351
Rincon, Ricardo RP NYM	Free Agent	2.3	0.0	0	0	0	0	0	0	3	2	3	7.71	2.14	1352
Shackelford, Brian RP LA	Free Agent	5.3	0.0	0	0	0	0	0	0	5	3	6	6.75	1.69	1355
Stone, Ricky RP CIN	Free Agent	2.7	0.0	0	0	0	0	0	0	2	0	4	10.12	1.50	1358
Cabrera, Fernando RP BOS 	Free Agent	44.3	0.0	0	0	2	2	0	0	50	27	45	5.89	1.62	1359
Mateo, Juan SP PIT	Free Agent	15.3	3.3	0	0	0	1	0	0	12	8	17	5.28	1.63	1361
Hughes, Travis RP BOS	Free Agent	3.7	0.0	0	0	0	0	0	0	1	2	4	7.36	1.64	1364
Guevara, Carlos RP SD	Free Agent	12.3	0.0	0	0	1	0	0	0	11	9	13	5.84	1.78	1365
Snyder, Kyle RP NYM	Free Agent	38.7	3.7	0	0	2	3	0	0	33	18	45	5.59	1.63	1366
Ramirez, Santiago RP WAS	Free Agent	1.0	0.0	0	0	0	0	0	0	0	1	2	9.00	3.00	1367
Carvajal, Marcos RP FLA	Free Agent	1.3	0.0	0	0	0	0	0	0	1	1	3	6.75	3.00	1368
Wagner, Ryan RP WAS	Free Agent	15.3	0.0	0	0	1	2	0	0	10	8	19	5.28	1.76	1369
Taubenheim, Ty SP PIT	Free Agent	15.3	3.0	1	0	0	2	0	0	11	8	17	5.28	1.63	1370
Sturtze, Tanyon RP LA	Free Agent	4.3	0.0	0	0	0	0	0	0	2	2	6	6.23	1.85	1372
Moseley, Dustin SP ANA 	Free Agent	51.0	6.7	1	0	2	2	0	0	30	16	63	5.47	1.55	1373
Colyer, Steve RP ATL	Free Agent	2.0	0.0	0	0	0	0	0	0	2	2	4	4.50	3.00	1374
Lehr, Justin RP CIN  	Free Agent	5.3	0.0	0	0	1	0	0	0	4	2	8	8.44	1.88	1377
Manon, Julio RP OAK	Free Agent	6.7	0.0	0	0	0	0	0	0	7	5	8	5.40	1.95	1379
Windsor, Jason SP OAK	Free Agent	4.7	1.0	0	0	0	0	0	0	2	2	7	5.79	1.93	1380
Meloan, Jon RP PIT	Free Agent	4.7	0.0	0	0	0	0	0	0	4	4	4	7.71	1.71	1382
De Jong, Jordan RP TOR	Free Agent	4.7	0.0	0	0	0	0	0	0	4	2	6	7.71	1.71	1383
Zagurski, Mike RP PHI	Free Agent	10.7	0.0	0	0	0	0	0	0	10	6	12	5.91	1.69	1386
Musser, Neal RP HOU	Free Agent	12.7	0.0	0	0	0	0	0	0	10	8	16	4.26	1.89	1388
Bean, Colter RP ATL	Free Agent	1.7	0.0	0	0	0	0	0	0	1	2	2	10.80	2.40	1390
Petrick, Billy RP CHC	Free Agent	4.7	0.0	0	0	0	0	0	0	3	4	4	7.71	1.71	1391
Rodriguez, Eddy RP FLA	Free Agent	5.0	0.0	0	0	0	0	0	0	4	3	6	7.20	1.80	1393
Collazo, Willie RP FLA	Free Agent	2.7	0.0	0	0	0	0	0	0	0	2	4	6.75	2.25	1394
Aquino, Greg RP CLE	Free Agent	24.0	0.0	0	0	1	0	0	0	24	13	28	5.62	1.71	1395
Dohmann, Scott RP ARI	Free Agent	32.0	0.0	0	0	2	1	0	0	27	19	35	5.62	1.69	1399
Tata, Jordan SP DET	Free Agent	9.7	1.0	0	0	0	0	0	0	5	5	10	6.52	1.55	1400
Barry, Kevin RP ATL	Free Agent	9.3	0.3	0	0	0	0	0	0	8	5	10	6.75	1.61	1402
Rogers, Brian A. RP PIT	Free Agent	3.7	0.0	0	0	0	0	0	0	3	1	5	9.82	1.64	1403
Etherton, Seth SP ARI	Free Agent	2.7	0.7	0	0	0	0	0	0	1	2	3	10.12	1.88	1406
Dickey, R.A. SP MIN 	Free Agent	38.7	5.0	2	0	2	3	0	0	20	17	44	5.59	1.58	1407
Murphy, Bill RP TOR	Free Agent	3.3	0.0	0	0	0	0	0	0	1	4	4	5.40	2.40	1408
Gallagher, Sean SP SD	Free Agent	65.0	10.5	3	0	2	4	0	0	54	35	68	5.54	1.58	1410
Taschner, Jack RP PHI	Free Agent	39.0	0.0	0	0	2	1	0	0	35	20	44	5.77	1.64	1411
Lewis, Colby RP KC	Free Agent	13.7	0.3	0	0	0	1	0	0	9	5	17	5.93	1.61	1412
Bueno, Francisley RP ATL	Free Agent	2.3	0.0	0	0	0	0	0	0	1	1	5	7.71	2.57	1415
Munoz, Arnie RP WAS	Free Agent	2.7	0.0	0	0	0	0	0	0	2	4	3	6.75	2.62	1416
Hamulack, Tim RP KC	Free Agent	11.3	0.0	0	0	0	1	0	0	11	7	12	6.35	1.68	1417
Fogg, Josh SP COL 	Free Agent	138.7	24.7	10	0	8	8	0	0	77	49	166	5.65	1.55	1419
Sanches, Brian RP FLA	Free Agent	15.7	0.0	0	0	1	0	0	0	14	10	17	6.32	1.72	1420
Smith, Chris SP MIL	Free Agent	18.3	0.0	0	0	1	0	0	0	13	7	18	7.85	1.36	1421
Traber, Billy RP BOS	Free Agent	33.3	3.3	1	0	2	2	0	0	21	11	42	5.94	1.59	1422
Gray, Jeff RP OAK	Free Agent	4.7	0.0	0	0	0	0	0	0	4	1	8	7.71	1.93	1423
Parrish, John RP BAL	Free Agent	31.3	2.0	1	0	1	1	0	0	21	17	37	4.88	1.72	1424
Morillo, Juan RP MIN	Free Agent	3.0	0.3	0	0	0	0	0	0	2	1	4	12.00	1.67	1425
Walrond, Les RP TOR	Free Agent	9.3	0.7	0	0	0	1	0	0	11	7	11	5.79	1.93	1426
Chick, Travis SP LA	Free Agent	1.7	0.0	0	0	0	0	0	0	1	3	2	10.80	3.00	1428
Herrera, Danny RP CIN	Free Agent	7.3	0.0	0	0	0	0	0	0	8	3	10	7.36	1.77	1429
White, Sean RP SEA	Free Agent	17.7	0.0	0	0	0	0	0	0	8	10	18	5.60	1.58	1430
Eyre, Willie RP TEX	Free Agent	42.3	0.7	0	0	2	2	0	0	23	18	51	5.32	1.63	1431
Zarate, Mauro RP SD	Free Agent	2.7	0.0	0	0	0	0	0	0	2	0	6	10.12	2.25	1433
Wells, Jared RP SEA	Free Agent	2.7	0.0	0	0	0	0	0	0	2	2	4	10.12	2.25	1434
Wilson, Kris RP PHI	Free Agent	2.7	0.3	0	0	0	0	0	0	2	1	5	10.12	2.25	1435
Brazoban, Yhency RP LA	Free Agent	3.3	0.0	0	0	0	0	0	0	4	3	5	8.10	2.40	1436
Threets, Erick RP LA	Free Agent	4.0	0.0	0	0	0	0	0	0	2	4	5	6.75	2.25	1437
Ennis, John RP PHI	Free Agent	4.0	0.5	0	0	0	0	0	0	4	2	6	9.00	2.00	1438
Claussen, Brandon SP WAS	Free Agent	25.7	4.7	1	0	1	3	0	0	19	9	31	6.31	1.56	1439
Robertson, Connor RP NYM	Free Agent	4.7	0.0	0	0	0	0	0	0	2	2	7	7.71	1.93	1440
Switzer, Jon RP NYM	Free Agent	17.7	0.0	0	0	1	1	0	0	10	9	22	5.60	1.75	1441
Roenicke, Josh RP TOR	Free Agent	3.0	0.0	0	0	0	0	0	0	6	2	6	9.00	2.67	1443
Lowery, Devon RP KC	Free Agent	4.3	0.0	0	0	0	0	0	0	6	2	6	10.38	1.85	1446
De Los Santos, Valerio SP NYM	Free Agent	8.0	2.0	0	0	0	1	0	0	10	11	6	5.62	2.12	1447
Brito, Eude SP WAS	Free Agent	6.0	0.7	0	0	0	1	0	0	3	4	7	7.50	1.83	1449
Booker, Chris RP WAS	Free Agent	3.0	0.0	0	0	0	0	0	0	3	2	4	12.00	2.00	1450
Davidson, Dave RP FLA 	Free Agent	1.0	0.0	0	0	0	0	0	0	0	1	3	18.00	4.00	1451
Gallo, Mike D. RP TOR	Free Agent	5.3	0.0	0	0	0	1	0	0	2	2	9	6.75	2.06	1452
Gosling, Mike RP CLE	Free Agent	11.3	0.0	0	0	1	0	0	0	11	10	14	5.56	2.12	1453
Duckworth, Brandon SP KC	Free Agent	43.3	6.0	2	0	2	4	0	0	23	22	50	5.19	1.66	1454
Rusch, Glendon SP COL	Free Agent	50.0	6.0	1	0	3	4	0	0	38	19	60	6.12	1.58	1455
Braun, Ryan Z. RP CHW	Free Agent	16.7	0.0	0	0	1	0	0	0	10	8	20	6.48	1.68	1457
Ridgway, Jeff RP ATL	Free Agent	5.0	0.0	0	0	0	0	0	0	4	1	7	10.80	1.60	1458
Diaz, Joselo RP TEX	Free Agent	2.7	0.0	0	0	0	0	0	0	2	3	4	10.12	2.62	1459
Fortunato, Bartolome RP SF	Free Agent	1.0	0.0	0	0	0	0	0	0	0	1	2	27.00	3.00	1460
Dunn, Scott RP OAK	Free Agent	2.7	0.0	0	0	0	0	0	0	1	1	6	10.12	2.62	1461
Cormier, Lance RP TB	Free Agent	63.7	6.3	2	0	3	5	0	0	39	32	75	5.09	1.68	1465
Lerew, Anthony SP KC	Free Agent	4.7	1.0	0	0	0	1	0	0	3	3	6	9.64	1.93	1466
Durbin, J.D. SP PHI	Free Agent	21.7	3.3	1	0	2	2	0	0	13	12	26	6.23	1.75	1467
Shiell, Jason RP MIL	Free Agent	5.3	1.0	0	0	0	1	0	0	5	3	8	8.44	2.06	1468
Gwyn, Marcus RP FLA	Free Agent	2.7	0.0	0	0	0	0	0	0	2	2	4	13.50	2.25	1469
Masset, Nick RP CIN	Free Agent	36.7	0.7	0	0	1	1	0	0	23	18	44	5.15	1.69	1470
Rodriguez, Felix RP BOS	Free Agent	9.7	0.0	0	0	0	0	0	0	5	5	11	7.45	1.66	1471
Carter, Lance RP TOR	Free Agent	4.0	0.0	0	0	0	0	0	0	2	3	6	9.00	2.25	1472
Abreu, Winston RP TB	Free Agent	12.7	0.0	0	0	0	0	0	0	11	5	16	7.11	1.66	1473
Swindle, R.J. RP CLE	Free Agent	4.7	0.0	0	0	0	0	0	0	4	2	9	7.71	2.36	1474
Gryboski, Kevin RP SF	Free Agent	2.0	0.0	0	0	0	0	0	0	1	1	5	13.50	3.00	1475
Doyne, Cory RP WAS	Free Agent	2.0	0.0	0	0	0	0	0	0	1	2	4	13.50	3.00	1476
Kunz, Eddie RP NYM	Free Agent	2.7	0.0	0	0	0	0	0	0	1	1	5	13.50	2.25	1477
Loe, Kameron RP TEX	Free Agent	81.7	12.7	5	0	3	6	0	0	44	29	101	5.29	1.59	1478
Lawrence, Brian SP SD	Free Agent	9.7	2.0	0	0	0	1	0	0	6	4	14	6.52	1.86	1479
Leicester, Jon SP BAL	Free Agent	16.0	2.5	0	0	1	2	0	0	8	6	18	7.88	1.50	1480
Livingston, Bobby SP CLE	Free Agent	20.3	3.3	1	0	1	1	0	0	10	5	29	6.20	1.67	1481
Stemle, Steve RP KC	Free Agent	2.0	0.0	0	0	0	0	0	0	0	1	5	13.50	3.00	1482
Stauffer, Tim SP SD  	Free Agent	4.7	1.0	0	0	0	0	0	0	3	2	6	11.57	1.71	1483
Bayliss, Jonah RP PIT	Free Agent	17.3	0.0	0	0	2	1	0	0	15	10	21	7.27	1.79	1484
Worrell, Mark RP SD 	Free Agent	5.7	0.0	0	0	0	1	0	0	4	4	8	7.94	2.12	1485
Barthmaier, Jimmy SP PIT	Free Agent	3.3	1.0	0	0	0	1	0	0	2	3	5	10.80	2.40	1486
Thomas, Justin RP SEA	Free Agent	4.0	0.0	0	0	0	1	0	0	2	2	9	6.75	2.75	1487
Rosario, Francisco A. RP PHI	Free Agent	16.3	0.3	0	0	0	2	0	0	15	10	19	6.06	1.78	1488
Fulchino, Jeff RP HOU	Free Agent	4.7	0.0	0	0	0	0	0	0	4	3	7	9.64	2.14	1489
Haeger, Charlie RP LA  	Free Agent	11.3	0.3	0	0	0	1	0	0	8	9	12	6.35	1.85	1490
Cruceta, Francisco RP DET	Free Agent	6.0	0.3	0	0	0	1	0	0	4	5	8	7.50	2.17	1491
Richard, Clayton SP SD  	Grape Apes	47.7	8.0	3	0	2	5	0	0	29	13	61	6.04	1.55	1493
Weaver, Jeff SP LA	Free Agent	106.3	19.3	7	1	5	9	0	0	62	27	134	5.92	1.51	1494
Burns, Mike RP MIL 	Free Agent	7.0	0.0	0	0	0	0	0	0	5	1	13	7.71	2.00	1495
Lambert, Chris SP BAL	Free Agent	20.7	3.0	0	0	1	2	0	0	15	7	31	5.66	1.84	1496
Miller, Andrew SP FLA	Free Agent	60.7	11.0	3	0	4	5	0	0	50	35	67	5.79	1.68	1497
DiNardo, Lenny RP KC	Free Agent	64.3	9.3	2	0	3	5	0	0	29	28	76	5.32	1.62	1498
Koronka, John SP FLA	Free Agent	45.0	8.3	3	0	2	3	0	0	21	17	54	5.80	1.58	1499
